ID,Target_07_AUC,Target_07_LogLoss,Target_90_AUC,Target_90_LogLoss,Target_120_AUC,Target_120_LogLoss
ID_6AA1EM,0,0,0,0,0,0
ID_2DV3A1,0,0,0,0,0,0
ID_KZY5B8,0,0,0,0,0,0
ID_T8WZT2,0,0,0,0,0,0
ID_3CX56O,0,0,0,0,0,0
ID_ARP4MA,0,0,0,0,0,0
ID_NT05CR,0,0,0,0,0,0
ID_404ITE,0,0,0,0,0,0
ID_19GWB0,0,0,0,0,0,0
ID_OZDQ0S,0,0,0,0,0,0
ID_IFU0ME,0,0,0,0,0,0
ID_NGW1MM,0,0,0,0,0,0
ID_6PHY97,0,0,0,0,0,0
ID_UHZGFQ,0,0,0,0,0,0
ID_8XAP2C,0,0,0,0,0,0
ID_8NCWT0,0,0,0,0,0,0
ID_70GY45,0,0,0,0,0,0
ID_K5QWCP,0,0,0,0,0,0
ID_TEWWHE,0,0,0,0,0,0
ID_H9JSB0,0,0,0,0,0,0
ID_8F9HQT,0,0,0,0,0,0
ID_FXTMQX,0,0,0,0,0,0
ID_XFTVP0,0,0,0,0,0,0
ID_T3M4VB,0,0,0,0,0,0
ID_S68SEU,0,0,0,0,0,0
ID_S2FLP8,0,0,0,0,0,0
ID_Y72GVR,0,0,0,0,0,0
ID_VFUS6O,0,0,0,0,0,0
ID_WQQ0XM,0,0,0,0,0,0
ID_EV9BW4,0,0,0,0,0,0
ID_0ZMKJ5,0,0,0,0,0,0
ID_2FLFW9,0,0,0,0,0,0
ID_JWZSB8,0,0,0,0,0,0
ID_EGSBUF,0,0,0,0,0,0
ID_386KW2,0,0,0,0,0,0
ID_XGNWIT,0,0,0,0,0,0
ID_N21DR9,0,0,0,0,0,0
ID_I4I5V8,0,0,0,0,0,0
ID_FEIT34,0,0,0,0,0,0
ID_LR40OA,0,0,0,0,0,0
ID_P5VCCF,0,0,0,0,0,0
ID_A8WIWZ,0,0,0,0,0,0
ID_3TKPD6,0,0,0,0,0,0
ID_66ES1P,0,0,0,0,0,0
ID_IQNTQ8,0,0,0,0,0,0
ID_23R8H4,0,0,0,0,0,0
ID_GDMWWO,0,0,0,0,0,0
ID_RGY0SF,0,0,0,0,0,0
ID_MKK4K2,0,0,0,0,0,0
ID_TADP25,0,0,0,0,0,0
ID_ZA8KW1,0,0,0,0,0,0
ID_S0UD4R,0,0,0,0,0,0
ID_8INR8W,0,0,0,0,0,0
ID_AUQ93S,0,0,0,0,0,0
ID_WN0HZJ,0,0,0,0,0,0
ID_XRYVTV,0,0,0,0,0,0
ID_7NP1XS,0,0,0,0,0,0
ID_UZFWTA,0,0,0,0,0,0
ID_WS0XGI,0,0,0,0,0,0
ID_7YPBJR,0,0,0,0,0,0
ID_9XAUUT,0,0,0,0,0,0
ID_BYUA3U,0,0,0,0,0,0
ID_V88UDP,0,0,0,0,0,0
ID_VOXA2M,0,0,0,0,0,0
ID_0QA8FH,0,0,0,0,0,0
ID_2ZQ2FN,0,0,0,0,0,0
ID_ZRJO1K,0,0,0,0,0,0
ID_XCQTHR,0,0,0,0,0,0
ID_TSFE6L,0,0,0,0,0,0
ID_LIY7G2,0,0,0,0,0,0
ID_Z0QZEM,0,0,0,0,0,0
ID_A79UP6,0,0,0,0,0,0
ID_SK51AQ,0,0,0,0,0,0
ID_VZTHJT,0,0,0,0,0,0
ID_P7UNV4,0,0,0,0,0,0
ID_5PSBTG,0,0,0,0,0,0
ID_S8VGCP,0,0,0,0,0,0
ID_6HEEK9,0,0,0,0,0,0
ID_DM782K,0,0,0,0,0,0
ID_0WYUZ8,0,0,0,0,0,0
ID_AYCNXU,0,0,0,0,0,0
ID_6EII0K,0,0,0,0,0,0
ID_QF1M1M,0,0,0,0,0,0
ID_MPHYLH,0,0,0,0,0,0
ID_RE8WJQ,0,0,0,0,0,0
ID_9BVDKP,0,0,0,0,0,0
ID_8D425D,0,0,0,0,0,0
ID_4ZIGKW,0,0,0,0,0,0
ID_SI5VVW,0,0,0,0,0,0
ID_LIAOL9,0,0,0,0,0,0
