ID,farmer_id,gender,registration,age,trainer,group_name,belong_to_cooperative,county,subcounty,ward,topics,has_topic_trained_on,training_date,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days
ID_UQQ2VP,famer_10536,Male,Ussd,Above 35,trainer_name_10,GRP_swmqpzg,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Feeding A Dairy Cow,1,2024-06-04,0,0,0
ID_YCY8UT,famer_25560,Female,Ussd,Above 35,trainer_name_5,GRP_zpjleyw,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_ydmsmlejg,Dairy Health Management,1,2025-01-11,0,1,1
ID_ND6IKX,famer_32353,Female,Ussd,Above 35,trainer_name_5,GRP_tvieadb,1,CNT_sfcnztt,SUB_uqkvollf,WRD_izjxmslgt,Poultry Feeding With Tyari,1,2025-02-02,1,1,1
ID_8SSLKN,famer_2861,Female,Ussd,Above 35,trainer_name_4,GRP_qlqurqv,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Why You Should Vaccinate Your Animals,1,2024-11-13,0,1,1
ID_RAX37D,famer_29864,Male,Ussd,Above 35,trainer_name_10,GRP_qzyksnm,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Management Practises..,1,2024-09-11,0,0,0
ID_MWT46S,famer_10180,Male,Ussd,Below 35,trainer_name_10,GRP_jaydrog,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Deworming Your Dairy Animal,1,2024-10-02,0,0,0
ID_LWEQ8N,famer_8048,Female,Ussd,Above 35,trainer_name_5,GRP_ylizoph,1,CNT_sfcnztt,SUB_uqkvollf,WRD_izjxmslgt,Poultry Diseases And Biosecurity,1,2024-11-13,0,0,1
ID_M1088V,famer_3787,Male,Ussd,Above 35,trainer_name_10,GRP_dxzkfkd,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,The Benefits Of Ndume App,1,2024-07-16,0,0,0
ID_XWLPFF,famer_1225,Female,Ussd,Below 35,trainer_name_10,GRP_klczvfo,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Reasons Why Ai Fails And Solutions,1,2024-06-10,0,0,0
ID_ZMV8IM,famer_35529,Male,Ussd,Above 35,trainer_name_10,GRP_etissgb,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Herd Health Management.,1,2024-09-05,0,0,0
ID_37LOE5,famer_3403,Female,Manual,Above 35,trainer_name_3,GRP_cpjjypp,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_kdjylcqzw,Poultry Management Practices,1,2024-04-03,0,0,0
ID_P5K6C6,famer_30977,Male,Manual,Above 35,trainer_name_8,GRP_isxuare,1,CNT_jeyuqkv,SUB_ylevqsci,WRD_hoicrrdhg,"Biosecurity In Poultry Farming,Calf Feeding,Dairy Feed Management,Dairy Health Management,Dairy Housing,Diseases In Dairy Farming,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Feed And Water Management,Poultry Health Management,Poultry Housing,Record Keeping In Dairy,Record Keeping In Poultry",1,2024-04-22,0,0,1
ID_U7HZU1,famer_3823,Female,Manual,Above 35,trainer_name_3,GRP_mniiqvx,0,CNT_bwvhqet,SUB_zrkkkvie,WRD_eviiydxxp,Dairy Hygiene,1,2024-10-22,0,0,0
